file,dataset,dataset_label,n,m,regime,group,voting_rule,winner,epsilon
00068-00000001.soi,polish,Polish,23,10,n ≫ m,Polish (n ≫ m),plurality,9,0.0
00068-00000002.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),plurality,13,0.0
00068-00000003.soi,polish,Polish,15,9,other,Polish (other),plurality,1,0.0
00068-00000004.soi,polish,Polish,15,17,n ≈ m,Polish (n ≈ m),plurality,1,0.0
00068-00000005.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),plurality,3,0.0
00068-00000006.soi,polish,Polish,15,9,other,Polish (other),plurality,4,0.0
00068-00000007.soi,polish,Polish,15,13,n ≈ m,Polish (n ≈ m),plurality,3,0.0
00068-00000008.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,3,0.0
00068-00000009.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),plurality,4,0.0
00068-00000010.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,7,0.0
00068-00000011.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),plurality,3,0.0
00068-00000012.soi,polish,Polish,15,11,other,Polish (other),plurality,10,0.0
00068-00000013.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,3,0.0
00068-00000014.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),plurality,1,0.0
00068-00000015.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,4,0.0
00068-00000016.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),plurality,2,0.0
00068-00000017.soi,polish,Polish,15,8,other,Polish (other),plurality,2,0.0
00068-00000018.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,5,0.0
00068-00000019.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,4,0.0
00068-00000021.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),plurality,5,0.0
00068-00000022.soi,polish,Polish,21,13,other,Polish (other),plurality,11,0.0
00068-00000023.soi,polish,Polish,15,8,other,Polish (other),plurality,3,0.0
00068-00000024.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,2,0.0
00068-00000025.soi,polish,Polish,15,13,n ≈ m,Polish (n ≈ m),plurality,3,0.0
00068-00000026.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),plurality,4,0.0
00068-00000027.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),plurality,4,0.0
00068-00000029.soi,polish,Polish,15,11,other,Polish (other),plurality,8,0.018181818181818077
00068-00000030.soi,polish,Polish,15,8,other,Polish (other),plurality,4,0.0
00068-00000031.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,5,0.0
00068-00000032.soi,polish,Polish,21,12,other,Polish (other),plurality,9,0.0
00068-00000033.soi,polish,Polish,15,9,other,Polish (other),plurality,2,0.0
00068-00000034.soi,polish,Polish,23,10,n ≫ m,Polish (n ≫ m),plurality,8,0.0
00068-00000035.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),plurality,1,0.0
00068-00000036.soi,polish,Polish,15,11,other,Polish (other),plurality,10,0.0
00068-00000037.soi,polish,Polish,15,12,other,Polish (other),plurality,7,0.0
00068-00000038.soi,polish,Polish,15,8,other,Polish (other),plurality,5,0.0
00068-00000039.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,1,0.0
00068-00000040.soi,polish,Polish,15,8,other,Polish (other),plurality,8,0.0
00068-00000041.soi,polish,Polish,15,8,other,Polish (other),plurality,6,0.0
00068-00000042.soi,polish,Polish,15,20,other,Polish (other),plurality,20,0.08333333333333326
00068-00000043.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,5,0.0
00068-00000044.soi,polish,Polish,15,8,other,Polish (other),plurality,1,0.0
00068-00000045.soi,polish,Polish,15,10,other,Polish (other),plurality,5,0.0
00068-00000046.soi,polish,Polish,15,12,other,Polish (other),plurality,4,0.0
00068-00000047.soi,polish,Polish,15,8,other,Polish (other),plurality,4,0.0
00068-00000048.soi,polish,Polish,15,9,other,Polish (other),plurality,1,0.0
00068-00000049.soi,polish,Polish,15,12,other,Polish (other),plurality,4,0.0
00068-00000050.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),plurality,7,0.0
00068-00000051.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),plurality,2,0.0
00068-00000053.soi,polish,Polish,15,9,other,Polish (other),plurality,1,0.0
00068-00000054.soi,polish,Polish,15,12,other,Polish (other),plurality,2,0.0
