file,n,m,regime,pvc_size,pvc_proportion,winner,epsilon
00048-00000057.soc,30,89,n < m,2,0.02247191011235955,63,0.0
00048-00000058.soc,30,83,n < m,3,0.03614457831325301,39,0.0
00048-00000120.soc,31,92,n < m,1,0.010869565217391304,83,0.0
00048-00000139.soc,31,91,n < m,1,0.01098901098901099,10,0.0
00048-00000167.soc,30,94,n < m,1,0.010638297872340425,56,0.0
00048-00000169.soc,31,91,n < m,2,0.02197802197802198,48,0.0
00048-00000171.soc,31,99,n < m,1,0.010101010101010102,46,0.0
00048-00000221.soc,29,100,n < m,2,0.02,37,0.0
00048-00000222.soc,29,98,n < m,2,0.02040816326530612,96,0.0
00048-00000237.soc,30,98,n < m,2,0.02040816326530612,96,0.0
00048-00000240.soc,31,89,n < m,4,0.0449438202247191,18,0.0
00048-00000264.soc,31,88,n < m,1,0.011363636363636364,56,0.0
00048-00000277.soc,31,94,n < m,1,0.010638297872340425,37,0.0
00048-00000300.soc,31,99,n < m,2,0.020202020202020204,89,0.0
00048-00000303.soc,30,81,n < m,1,0.012345679012345678,39,0.0
00048-00000306.soc,29,88,n < m,1,0.011363636363636364,63,0.0
00048-00000307.soc,30,84,n < m,2,0.023809523809523808,66,0.0
00048-00000308.soc,31,82,n < m,1,0.012195121951219513,62,0.0
00048-00000309.soc,30,85,n < m,4,0.047058823529411764,67,0.0
00048-00000314.soc,28,96,n < m,1,0.010416666666666666,12,0.0
00048-00000315.soc,31,97,n < m,1,0.010309278350515464,12,0.0
00048-00000316.soc,30,83,n < m,1,0.012048192771084338,13,0.0
00048-00000317.soc,29,83,n < m,3,0.03614457831325301,5,0.0
00048-00000318.soc,29,81,n < m,1,0.012345679012345678,80,0.0
00048-00000320.soc,31,87,n < m,1,0.011494252873563218,33,0.0
00048-00000321.soc,30,90,n < m,3,0.03333333333333333,34,0.0
00048-00000322.soc,31,87,n < m,4,0.04597701149425287,24,0.0
00048-00000323.soc,30,91,n < m,2,0.02197802197802198,23,0.0
00048-00000339.soc,31,91,n < m,1,0.01098901098901099,8,0.0
00048-00000372.soc,31,92,n < m,6,0.06521739130434782,50,0.0
00048-00000375.soc,31,99,n < m,2,0.020202020202020204,4,0.0
00048-00000384.soc,31,88,n < m,1,0.011363636363636364,5,0.0
00048-00000447.soc,29,97,n < m,2,0.020618556701030927,96,0.0
00048-00000480.soc,31,84,n < m,1,0.011904761904761904,36,0.0
00048-00000481.soc,30,87,n < m,2,0.022988505747126436,39,0.0
00048-00000482.soc,29,84,n < m,4,0.047619047619047616,56,0.0
00048-00000483.soc,29,91,n < m,1,0.01098901098901099,65,0.0
00048-00000484.soc,31,97,n < m,1,0.010309278350515464,73,0.0
00048-00000485.soc,31,96,n < m,1,0.010416666666666666,71,0.0
00048-00000487.soc,31,97,n < m,2,0.020618556701030927,45,0.0
00048-00000488.soc,30,100,n < m,3,0.03,46,0.0
00048-00000519.soc,29,99,n < m,1,0.010101010101010102,98,0.0
00048-00000539.soc,28,87,n < m,1,0.011494252873563218,39,0.0
00048-00000540.soc,30,91,n < m,2,0.02197802197802198,41,0.0
00048-00000541.soc,30,85,n < m,1,0.011764705882352941,46,0.0
00048-00000542.soc,29,82,n < m,1,0.012195121951219513,55,0.0
00048-00000543.soc,29,93,n < m,3,0.03225806451612903,65,0.0
00048-00000560.soc,30,100,n < m,1,0.01,65,0.0
00048-00000593.soc,31,82,n < m,1,0.012195121951219513,62,0.0
00048-00000594.soc,30,86,n < m,3,0.03488372093023256,67,0.0
00048-00000595.soc,31,84,n < m,4,0.047619047619047616,48,0.0
00048-00000612.soc,31,97,n < m,1,0.010309278350515464,43,0.0
00048-00000616.soc,31,95,n < m,2,0.021052631578947368,40,0.0
00048-00000621.soc,31,99,n < m,1,0.010101010101010102,91,0.0
00048-00000638.soc,29,87,n < m,2,0.022988505747126436,55,0.0
00068-00000002.soi,15,14,n = m,3,0.21428571428571427,13,0.0
00068-00000004.soi,15,17,n = m,3,0.17647058823529413,1,0.0
00068-00000007.soi,15,13,n = m,3,0.23076923076923078,3,0.0
00068-00000012.soi,15,11,n = m,4,0.36363636363636365,10,0.0
00068-00000020.soi,15,11,n = m,3,0.2727272727272727,9,0.0
00068-00000025.soi,15,13,n = m,3,0.23076923076923078,3,0.0
00068-00000028.soi,15,14,n = m,3,0.21428571428571427,4,0.0
00068-00000029.soi,15,11,n = m,1,0.09090909090909091,8,0.018181818181818077
00068-00000036.soi,15,11,n = m,2,0.18181818181818182,10,0.0
00068-00000037.soi,15,12,n = m,1,0.08333333333333333,7,0.0
00068-00000042.soi,15,20,n = m,6,0.3,20,0.08333333333333326
00068-00000045.soi,15,10,n = m,6,0.6,5,0.0
00068-00000046.soi,15,12,n = m,3,0.25,4,0.0
00068-00000049.soi,15,12,n = m,2,0.16666666666666666,4,0.0
00068-00000054.soi,15,12,n = m,4,0.3333333333333333,2,0.0
00068-00000058.soi,15,10,n = m,4,0.4,9,0.0
00068-00000062.soi,15,11,n = m,4,0.36363636363636365,11,0.0
00068-00000064.soi,15,11,n = m,3,0.2727272727272727,11,0.24242424242424243
00068-00000066.soi,15,10,n = m,4,0.4,3,0.0
00068-00000070.soi,15,11,n = m,2,0.18181818181818182,6,0.0
00068-00000079.soi,15,15,n = m,4,0.26666666666666666,15,0.0
00068-00000083.soi,15,10,n = m,2,0.2,5,0.0
00068-00000084.soi,15,15,n = m,4,0.26666666666666666,11,0.0
00068-00000085.soi,15,10,n = m,4,0.4,3,0.0
00068-00000087.soi,15,12,n = m,2,0.16666666666666666,5,0.0
00068-00000088.soi,15,14,n = m,5,0.35714285714285715,4,0.0
00068-00000089.soi,15,14,n = m,3,0.21428571428571427,12,0.0
00068-00000093.soi,15,10,n = m,5,0.5,2,0.0
00068-00000105.soi,15,14,n = m,2,0.14285714285714285,12,0.0
00068-00000109.soi,15,11,n = m,2,0.18181818181818182,1,0.0
00068-00000114.soi,15,11,n = m,3,0.2727272727272727,2,0.0
00068-00000122.soi,15,10,n = m,2,0.2,1,0.0
00068-00000123.soi,15,10,n = m,5,0.5,6,0.0
00068-00000138.soi,15,10,n = m,4,0.4,5,0.0
00068-00000141.soi,15,10,n = m,3,0.3,5,0.0
00068-00000142.soi,15,10,n = m,3,0.3,3,0.0
00068-00000143.soi,15,18,n = m,5,0.2777777777777778,3,0.0
00068-00000151.soi,15,10,n = m,3,0.3,1,0.0
00068-00000155.soi,15,10,n = m,2,0.2,6,0.0
00068-00000156.soi,15,11,n = m,3,0.2727272727272727,4,0.0
00068-00000187.soi,15,10,n = m,3,0.3,4,0.0
00068-00000196.soi,15,11,n = m,2,0.18181818181818182,1,0.0
00068-00000205.soi,15,15,n = m,4,0.26666666666666666,1,0.0
00068-00000210.soi,15,12,n = m,6,0.5,10,0.0
00068-00000213.soi,15,19,n = m,5,0.2631578947368421,1,0.0
00068-00000214.soi,15,18,n = m,6,0.3333333333333333,8,0.0
00068-00000215.soi,15,18,n = m,5,0.2777777777777778,18,0.14444444444444438
00068-00000220.soi,15,10,n = m,4,0.4,10,0.0
00068-00000236.soi,15,10,n = m,3,0.3,7,0.0
00068-00000240.soi,15,11,n = m,4,0.36363636363636365,8,0.0
00068-00000241.soi,15,12,n = m,6,0.5,3,0.0
00068-00000245.soi,15,12,n = m,2,0.16666666666666666,3,0.0
00068-00000246.soi,15,11,n = m,2,0.18181818181818182,6,0.0
00068-00000249.soi,15,10,n = m,2,0.2,4,0.0
00068-00000251.soi,15,13,n = m,6,0.46153846153846156,4,0.0
00068-00000252.soi,15,10,n = m,2,0.2,8,0.0
00068-00000259.soi,15,11,n = m,2,0.18181818181818182,8,0.0
00068-00000261.soi,15,13,n = m,2,0.15384615384615385,3,0.0
00068-00000264.soi,15,10,n = m,3,0.3,10,0.03333333333333344
00068-00000265.soi,15,16,n = m,1,0.0625,12,0.0
00068-00000269.soi,15,13,n = m,5,0.38461538461538464,13,0.0
00068-00000283.soi,15,13,n = m,3,0.23076923076923078,5,0.0
00068-00000286.soi,15,13,n = m,3,0.23076923076923078,13,0.0
00068-00000290.soi,15,13,n = m,7,0.5384615384615384,7,0.0
00068-00000295.soi,15,14,n = m,3,0.21428571428571427,4,0.0
00068-00000298.soi,15,11,n = m,5,0.45454545454545453,8,0.0
00068-00000301.soi,15,15,n = m,3,0.2,15,0.0
00068-00000302.soi,15,18,n = m,5,0.2777777777777778,14,0.0
00068-00000307.soi,15,10,n = m,3,0.3,4,0.0
00068-00000308.soi,15,10,n = m,2,0.2,8,0.0
00068-00000309.soi,15,14,n = m,6,0.42857142857142855,12,0.5952380952380953
00068-00000313.soi,15,11,n = m,3,0.2727272727272727,10,0.0
00068-00000314.soi,15,11,n = m,2,0.18181818181818182,10,0.0
00068-00000320.soi,15,10,n = m,4,0.4,4,0.0
00068-00000326.soi,15,16,n = m,2,0.125,2,0.0
00068-00000328.soi,15,10,n = m,4,0.4,3,0.0
00068-00000330.soi,15,10,n = m,4,0.4,7,0.0
00068-00000337.soi,15,17,n = m,6,0.35294117647058826,2,0.0
00068-00000340.soi,15,12,n = m,3,0.25,5,0.0
00068-00000342.soi,15,13,n = m,3,0.23076923076923078,9,0.02564102564102555
00068-00000355.soi,15,10,n = m,3,0.3,10,0.03333333333333344
00068-00000367.soi,15,12,n = m,3,0.25,2,0.0
00068-00000373.soi,15,10,n = m,4,0.4,4,0.0
00068-00000375.soi,15,11,n = m,5,0.45454545454545453,2,0.0
00068-00000379.soi,15,15,n = m,5,0.3333333333333333,13,0.0
00068-00000384.soi,15,12,n = m,7,0.5833333333333334,6,0.0
00068-00000385.soi,15,10,n = m,4,0.4,4,0.0
00068-00000400.soi,15,11,n = m,2,0.18181818181818182,9,0.042424242424242475
00068-00000406.soi,15,11,n = m,2,0.18181818181818182,11,0.0
00068-00000407.soi,15,14,n = m,3,0.21428571428571427,11,0.0
00068-00000409.soi,15,10,n = m,5,0.5,5,0.0
00068-00000412.soi,15,10,n = m,3,0.3,6,0.0
00068-00000420.soi,15,10,n = m,3,0.3,1,0.0
00068-00000426.soi,15,10,n = m,4,0.4,7,0.0
00068-00000432.soi,15,10,n = m,2,0.2,7,0.0
00068-00000434.soi,15,10,n = m,3,0.3,5,0.0
00068-00000436.soi,15,14,n = m,3,0.21428571428571427,12,0.0
00068-00000448.soi,15,10,n = m,4,0.4,2,0.0
00068-00000450.soi,15,10,n = m,2,0.2,10,0.0
00068-00000456.soi,15,10,n = m,3,0.3,1,0.0
00068-00000460.soi,15,11,n = m,2,0.18181818181818182,10,0.0
00068-00000468.soi,15,12,n = m,3,0.25,3,0.0
00068-00000471.soi,15,10,n = m,3,0.3,3,0.0
00068-00000474.soi,15,12,n = m,3,0.25,3,0.0
00068-00000476.soi,15,10,n = m,3,0.3,2,0.0
00068-00000488.soi,15,10,n = m,3,0.3,2,0.0
00068-00000489.soi,15,12,n = m,2,0.16666666666666666,10,0.0
00068-00000491.soi,15,10,n = m,3,0.3,1,0.0
00068-00000493.soi,15,14,n = m,3,0.21428571428571427,7,0.0
00068-00000496.soi,15,12,n = m,3,0.25,12,0.050000000000000044
00068-00000500.soi,15,10,n = m,4,0.4,9,0.03333333333333344
00068-00000507.soi,15,10,n = m,4,0.4,4,0.0
00068-00000511.soi,15,15,n = m,3,0.2,5,0.0
00068-00000512.soi,15,10,n = m,3,0.3,9,0.0
00068-00000538.soi,15,18,n = m,4,0.2222222222222222,2,0.0
00068-00000539.soi,15,15,n = m,7,0.4666666666666667,7,0.0
00068-00000540.soi,15,12,n = m,5,0.4166666666666667,12,0.18333333333333335
00068-00000542.soi,15,11,n = m,5,0.45454545454545453,2,0.0
00068-00000543.soi,15,11,n = m,3,0.2727272727272727,8,0.0
00068-00000545.soi,15,12,n = m,5,0.4166666666666667,5,0.0
00068-00000547.soi,15,10,n = m,4,0.4,5,0.0
00068-00000548.soi,15,15,n = m,7,0.4666666666666667,15,0.0
00068-00000552.soi,15,13,n = m,4,0.3076923076923077,5,0.0
00068-00000554.soi,15,12,n = m,4,0.3333333333333333,12,0.0
00068-00000555.soi,15,12,n = m,5,0.4166666666666667,2,0.0
00068-00000558.soi,15,18,n = m,1,0.05555555555555555,10,0.0
00068-00000561.soi,15,11,n = m,4,0.36363636363636365,6,0.0
00068-00000566.soi,15,11,n = m,2,0.18181818181818182,7,0.0
00068-00000570.soi,15,10,n = m,4,0.4,4,0.0
00068-00000571.soi,15,12,n = m,3,0.25,10,0.0
00068-00000574.soi,15,12,n = m,4,0.3333333333333333,6,0.0
00068-00000575.soi,15,15,n = m,3,0.2,9,0.0
00068-00000576.soi,15,11,n = m,4,0.36363636363636365,8,0.1272727272727272
00068-00000582.soi,15,17,n = m,5,0.29411764705882354,16,0.0
00068-00000583.soi,15,11,n = m,3,0.2727272727272727,7,0.0
00068-00000586.soi,15,10,n = m,2,0.2,5,0.0
00068-00000595.soi,15,10,n = m,1,0.1,3,0.0
00068-00000597.soi,15,10,n = m,1,0.1,4,0.0
00068-00000604.soi,15,18,n = m,2,0.1111111111111111,10,0.0
00068-00000605.soi,15,11,n = m,3,0.2727272727272727,1,0.0
00068-00000606.soi,15,11,n = m,4,0.36363636363636365,7,0.0
00068-00000608.soi,15,10,n = m,2,0.2,9,0.2666666666666666
00068-00000609.soi,15,10,n = m,3,0.3,2,0.0
00068-00000612.soi,15,12,n = m,3,0.25,7,0.0
00068-00000617.soi,15,10,n = m,4,0.4,5,0.0
00068-00000620.soi,15,10,n = m,2,0.2,7,0.0
00068-00000627.soi,15,20,n = m,4,0.2,10,0.0
00068-00000632.soi,15,11,n = m,3,0.2727272727272727,2,0.0
00068-00000636.soi,15,11,n = m,2,0.18181818181818182,3,0.0
00068-00000643.soi,15,11,n = m,3,0.2727272727272727,9,0.0
00068-00000644.soi,15,12,n = m,5,0.4166666666666667,11,0.0
00068-00000651.soi,15,18,n = m,3,0.16666666666666666,9,0.0
00068-00000654.soi,15,12,n = m,2,0.16666666666666666,12,0.0
00068-00000657.soi,15,13,n = m,2,0.15384615384615385,8,0.0
00068-00000663.soi,15,20,n = m,3,0.15,7,0.0
00068-00000666.soi,15,10,n = m,4,0.4,7,0.0
00068-00000667.soi,15,16,n = m,4,0.25,6,0.0
00068-00000668.soi,15,15,n = m,6,0.4,15,0.0
00068-00000672.soi,15,13,n = m,3,0.23076923076923078,5,0.0
00068-00000677.soi,15,12,n = m,4,0.3333333333333333,12,0.25
00068-00000682.soi,15,15,n = m,2,0.13333333333333333,12,0.0
00068-00000689.soi,15,12,n = m,4,0.3333333333333333,8,0.0
00068-00000694.soi,15,13,n = m,2,0.15384615384615385,6,0.0
00068-00000695.soi,15,10,n = m,3,0.3,3,0.0
00068-00000696.soi,15,10,n = m,3,0.3,2,0.0
00068-00000699.soi,15,10,n = m,4,0.4,3,0.0
00068-00000719.soi,15,12,n = m,5,0.4166666666666667,6,0.0
00068-00000720.soi,15,11,n = m,5,0.45454545454545453,11,0.0
