file,dataset,dataset_label,n,m,regime,group,pvc_size,pvc_proportion,winner,epsilon
00048-00000024.soc,spotify,Spotify,31,38,n ≈ m,Spotify (n ≈ m),1,0.02631578947368421,3,0.0
00048-00000036.soc,spotify,Spotify,31,77,n ≪ m,Spotify (n ≪ m),1,0.012987012987012988,49,0.0
00048-00000051.soc,spotify,Spotify,31,63,n ≪ m,Spotify (n ≪ m),1,0.015873015873015872,28,0.0
00048-00000052.soc,spotify,Spotify,29,64,n ≪ m,Spotify (n ≪ m),2,0.03125,31,0.0
00048-00000053.soc,spotify,Spotify,29,58,n ≪ m,Spotify (n ≪ m),1,0.017241379310344827,38,0.0
00048-00000054.soc,spotify,Spotify,29,65,n ≪ m,Spotify (n ≪ m),1,0.015384615384615385,42,0.0
00048-00000055.soc,spotify,Spotify,31,67,n ≪ m,Spotify (n ≪ m),4,0.05970149253731343,43,0.0
00048-00000056.soc,spotify,Spotify,31,75,n ≪ m,Spotify (n ≪ m),1,0.013333333333333334,53,0.0
00048-00000057.soc,spotify,Spotify,30,89,n ≪ m,Spotify (n ≪ m),2,0.02247191011235955,63,0.0
00048-00000058.soc,spotify,Spotify,30,83,n ≪ m,Spotify (n ≪ m),3,0.03614457831325301,39,0.0
00048-00000059.soc,spotify,Spotify,30,75,n ≪ m,Spotify (n ≪ m),1,0.013333333333333334,51,0.0
00048-00000060.soc,spotify,Spotify,31,79,n ≪ m,Spotify (n ≪ m),1,0.012658227848101266,57,0.0
00048-00000120.soc,spotify,Spotify,31,92,n ≪ m,Spotify (n ≪ m),1,0.010869565217391304,83,0.0
00048-00000139.soc,spotify,Spotify,31,91,n ≪ m,Spotify (n ≪ m),1,0.01098901098901099,10,0.0
00048-00000144.soc,spotify,Spotify,31,29,n ≈ m,Spotify (n ≈ m),2,0.06896551724137931,19,0.0
00048-00000167.soc,spotify,Spotify,30,94,n ≪ m,Spotify (n ≪ m),1,0.010638297872340425,56,0.0
00048-00000168.soc,spotify,Spotify,31,33,n ≈ m,Spotify (n ≈ m),2,0.06060606060606061,20,0.0
00048-00000169.soc,spotify,Spotify,31,91,n ≪ m,Spotify (n ≪ m),2,0.02197802197802198,48,0.0
00048-00000171.soc,spotify,Spotify,31,99,n ≪ m,Spotify (n ≪ m),1,0.010101010101010102,46,0.0
00048-00000193.soc,spotify,Spotify,24,23,n ≈ m,Spotify (n ≈ m),1,0.043478260869565216,17,0.0
00048-00000194.soc,spotify,Spotify,28,24,n ≈ m,Spotify (n ≈ m),1,0.041666666666666664,19,0.0
00048-00000197.soc,spotify,Spotify,29,24,n ≈ m,Spotify (n ≈ m),3,0.125,5,0.0
00048-00000201.soc,spotify,Spotify,6,36,n ≪ m,Spotify (n ≪ m),2,0.05555555555555555,19,0.0
00048-00000202.soc,spotify,Spotify,9,36,n ≪ m,Spotify (n ≪ m),1,0.027777777777777776,19,0.0
00048-00000204.soc,spotify,Spotify,18,17,n ≈ m,Spotify (n ≈ m),1,0.058823529411764705,15,0.0
00048-00000221.soc,spotify,Spotify,29,100,n ≪ m,Spotify (n ≪ m),2,0.02,37,0.0
00048-00000222.soc,spotify,Spotify,29,98,n ≪ m,Spotify (n ≪ m),2,0.02040816326530612,96,0.0
00048-00000228.soc,spotify,Spotify,31,33,n ≈ m,Spotify (n ≈ m),3,0.09090909090909091,26,0.0
00048-00000237.soc,spotify,Spotify,30,98,n ≪ m,Spotify (n ≪ m),2,0.02040816326530612,96,0.0
00048-00000240.soc,spotify,Spotify,31,89,n ≪ m,Spotify (n ≪ m),4,0.0449438202247191,18,0.0
00048-00000264.soc,spotify,Spotify,31,88,n ≪ m,Spotify (n ≪ m),1,0.011363636363636364,56,0.0
00048-00000265.soc,spotify,Spotify,31,27,n ≈ m,Spotify (n ≈ m),2,0.07407407407407407,19,0.0
00048-00000267.soc,spotify,Spotify,31,35,n ≈ m,Spotify (n ≈ m),1,0.02857142857142857,6,0.0
00048-00000268.soc,spotify,Spotify,30,32,n ≈ m,Spotify (n ≈ m),2,0.0625,5,0.0
00048-00000271.soc,spotify,Spotify,31,37,n ≈ m,Spotify (n ≈ m),2,0.05405405405405406,35,0.0
00048-00000277.soc,spotify,Spotify,31,94,n ≪ m,Spotify (n ≪ m),1,0.010638297872340425,37,0.0
00048-00000300.soc,spotify,Spotify,31,99,n ≪ m,Spotify (n ≪ m),2,0.020202020202020204,89,0.0
00048-00000302.soc,spotify,Spotify,28,72,n ≪ m,Spotify (n ≪ m),1,0.013888888888888888,37,0.0
00048-00000303.soc,spotify,Spotify,30,81,n ≪ m,Spotify (n ≪ m),1,0.012345679012345678,39,0.0
00048-00000304.soc,spotify,Spotify,30,78,n ≪ m,Spotify (n ≪ m),3,0.038461538461538464,45,0.0
00048-00000305.soc,spotify,Spotify,29,79,n ≪ m,Spotify (n ≪ m),2,0.02531645569620253,52,0.0
00048-00000306.soc,spotify,Spotify,29,88,n ≪ m,Spotify (n ≪ m),1,0.011363636363636364,63,0.0
00048-00000307.soc,spotify,Spotify,30,84,n ≪ m,Spotify (n ≪ m),2,0.023809523809523808,66,0.0
00048-00000308.soc,spotify,Spotify,31,82,n ≪ m,Spotify (n ≪ m),1,0.012195121951219513,62,0.0
00048-00000309.soc,spotify,Spotify,30,85,n ≪ m,Spotify (n ≪ m),4,0.047058823529411764,67,0.0
00048-00000310.soc,spotify,Spotify,31,74,n ≪ m,Spotify (n ≪ m),3,0.04054054054054054,44,0.0
00048-00000311.soc,spotify,Spotify,29,68,n ≪ m,Spotify (n ≪ m),1,0.014705882352941176,63,0.0
00048-00000313.soc,spotify,Spotify,31,79,n ≪ m,Spotify (n ≪ m),1,0.012658227848101266,66,0.0
00048-00000314.soc,spotify,Spotify,28,96,n ≪ m,Spotify (n ≪ m),1,0.010416666666666666,12,0.0
00048-00000315.soc,spotify,Spotify,31,97,n ≪ m,Spotify (n ≪ m),1,0.010309278350515464,12,0.0
00048-00000316.soc,spotify,Spotify,30,83,n ≪ m,Spotify (n ≪ m),1,0.012048192771084338,13,0.0
00048-00000317.soc,spotify,Spotify,29,83,n ≪ m,Spotify (n ≪ m),3,0.03614457831325301,5,0.0
00048-00000318.soc,spotify,Spotify,29,81,n ≪ m,Spotify (n ≪ m),1,0.012345679012345678,80,0.0
00048-00000319.soc,spotify,Spotify,31,75,n ≪ m,Spotify (n ≪ m),2,0.02666666666666667,75,0.0
00048-00000320.soc,spotify,Spotify,31,87,n ≪ m,Spotify (n ≪ m),1,0.011494252873563218,33,0.0
00048-00000321.soc,spotify,Spotify,30,90,n ≪ m,Spotify (n ≪ m),3,0.03333333333333333,34,0.0
